raw_pix,perc_prot,shark_suit,tuna_suit,scenario,specific
17,0.035123967,27.4950858,34.89486809,random,Random 1
20,0.041322314,34.2314466,38.88549981,random,Random 2
24,0.049586777,42.20427218,53.14681706,random,Random 3
12,0.024793388,22.23798313,23.38650963,random,Random 4
17,0.035123967,30.24420653,33.6528421,random,Random 5
22,0.045454545,38.06711759,46.3528718,random,Random 6
13,0.026859504,22.68704907,25.35934918,random,Random 7
11,0.022727273,19.41696273,23.21860895,random,Random 8
8,0.016528926,13.61720045,15.24289327,random,Random 9
15,0.030991736,22.2416959,26.52469519,random,Random 10
173,0.357438017,349.760347,413.2319417,planned,100 Shark
173,0.357438017,349.538375,417.0090254,planned,90 Shark
173,0.357438017,348.6215599,422.1912725,planned,80 Shark
173,0.357438017,348.2435513,423.2463022,planned,70 Shark
173,0.357438017,347.5239243,424.5547224,planned,60 Shark
173,0.357438017,346.5694069,425.6385511,planned,50 Shark
173,0.357438017,346.0063818,426.1137651,planned,40 Shark
173,0.357438017,345.7386874,426.2544126,planned,30 Shark
173,0.357438017,344.6181112,426.6107105,planned,20 Shark
173,0.357438017,342.6584989,426.9522025,planned,10 Shark
173,0.357438017,341.3687468,427.0279666,planned,0 Shark
